Number,Title,Short_Desc,Address,Desc1,Website,Image_URL
1,The Art Garage,"Buy one, get one free (pottery painting of equal/lessor value)","11190 Circle Drive, Austin, TX 78736","The Art Garage is an art studio where anyone can explore their inner artist, be creative and have some fun.  We have a diverse set of programs for children, teens and adults that span countless art mediums such as pottery painting, fused glass art, jewelry, canvas painting, tie-dye and more.
<p>11190 Circle Drive, Austin, TX 78736</p>",http://www.theartgarageaustin.com/,http://bbbsevents.org/images/mdp/artgarage.png
2,Austin Acquarium,Buy one adult admissions ticket get one free (must show Match ID card),"1350 N HWY 183, Austin, TX 78750","Among the 35 exhibits featured throughout Austin's newest attraction are a wide variety of amphibians, an interactive Lorikeet Aviary, and a variety of cold water and tropical fish. In addition, Austin Aquarium features sharks, a stingray touch tank, and a rainforest with hundreds of reptiles!
<p>1350 N HWY 183, Austin, TX 78750</p>",http://www.austinaquarium.com/,http://bbbsevents.org/images/mdp/austin_acquarium.jpg
3,Austin Water Bikes,"Bigs pay $17 per hour (daytime only); Little go free. 7 days a week. Reservations are recommended (<a href=""tel:+1-512-200-6555"">512.200.6555</a> to reserve)","208 Barton Springs Road, Austin, TX 78704","Austin Water Bikes rentals and tours is the premier way to view Lady Bird Lake in gorgeous downtown Austin. You and your friends or family can explore the lake area, taking in all the sights and sounds that downtown Austin has to offer.
<p>208 Barton Springs Road, Austin, TX 78704</p>",http://austinwaterbikes.com/,http://bbbsevents.org/images/mdp/austin_water_bikes.png
4,Austin Zoo and Animal Sanctuary,Bigs pay full price; Littles free (not valid with other coupons or discount offers; not valid for Boo at the Zoo or other special events).,"10808 Rawhide Trail, Austin, TX","Located on the southwest edge of Austin off of Highway 290 West and Circle Drive, Austin Zoo is a pleasant Hill Country zoo where visitors from around the world can come to learn about animals close-up, spend some time outdoors getting exercise and have fun.
<p>10808 Rawhide Trail, Austin, TX</p>",http://austinzoo.org/,http://bbbsevents.org/images/mdp/austin_zoo.png
5,Blackfinn Ameripub (Domain),"Buy One, Get One free: 
Bigs order off regular menu, Kids eat free off kids menu.","11410 Century Oaks Terrace, Austin, TX 78758","Located in The Domain at:
<p>11410 Century Oaks Terrace
Austin, TX 78758</p>
<p>phone: <a href=""tel:+1-512-836-3466"">512.836.3466</a></p>",http://blackfinnameripub.com/austin/,http://bbbsevents.org/images/mdp/blackfinn.jpg
6,Blanton Museum of Art (The University of Texas at Austin),"Free Admission for ""Big"" and ""Little""","200 E. Martin Luther King Jr. Blvd., Austin, TX 78701","The Blanton Museum of Art at The University of Texas at Austin is one of the foremost university art museums in the country, and has the largest and most comprehensive collection of art in Central Texas. The Blanton's permanent collection of more than 17,000 works is recognized for its European paintings, an encyclopedic collection of prints and drawings, and modern and contemporary American and Latin American art.
<p>200 E. Martin Luther King Jr. Blvd., Austin, TX 78701</p>",http://blantonmuseum.org/,http://bbbsevents.org/images/mdp/blanton_museum.jpg
7,Bob Bullock Texas State History Museum,Buy one adult admission; receive youth exhibit admission free. (IMAX not included),"1800 N. Congress Avenue, Austin, TX","Visit the Bullock Museum to experience ever-changing exhibitions, innovative films, and unique programs and events.
<p>1800 N. Congress Avenue, Austin, TX</p>",http://www.thestoryoftexas.com/,http://bbbsevents.org/images/mdp/bullock_museum.png
8,Cafe Monet,10% discount for both Big and Little,"4700 W. Guadalupe, Austin, TX","Cafe Monet is a fun paint-your-own-pottery and mosaic studio where you can create fully functional, fabulous, personalized pottery, fused glass, and mosaics for your home or as gifts.
<p>4700 W. Guadalupe, Austin, TX</p>",http://www.cafemonet.org/,http://bbbsevents.org/images/mdp/cafet_monet.jpeg
9,CiCi's Pizza in Round Rock,"FREE buffet for Bigs and Littles, any day, any time","1601 IH-35, Round Rock, TX","Coppell, Texas-based CiCi's Pizza opened its first restaurant in Plano, Texas, in 1985 and has nearly 500 restaurants in 34 states.
<p>1601 IH-35, Round Rock, TX</p>",http://www.cicispizza.com/,http://bbbsevents.org/images/mdp/cicis_pizza.jpeg
10,Congress Avenue Kayaks,$5 for a 2-person kayak for one hour. A signed consent form is required from the parent/guardian for guests under 14 (Consent forms are available on our website).,"74 Trinity Street, Austin, TX 78701","Simply put, our mission is to provide guests with fun and positive outdoor recreational experiences in our kayaks or paddleboards whether for fitness or for relaxation goals.  We hope guests will embrace kayaking and paddleboarding as lifelong activities.
<p>74 Trinity Street, Austin, TX 78701</p>",http://www.congresskayaks.com/,http://bbbsevents.org/images/mdp/congress_avenue_kayaks.png
11,CRAFT,"Buy one, get one -- Big buys one crafting session, Little is free. Or when Bigs come alone, 15% off crafting fee.","1632 South 1st Street, Austin, TX","CRAFT is a walk-in craft and DIY studio.  We're like a restaurant or a gym, but instead of eating or working out, you can come in and craft! 
<p>1632 South 1st Street, Austin, TX</p>",http://craft-austin.com/,http://bbbsevents.org/images/mdp/craft_austin.jpg
12,Daybreak Family Entertainment,"20% discount for boat rentals. Bigs pay full price for Mini-golf, Littles play for free.","971 Hi-Line, Austin, Texas 78734","Daybreak offers fun for the entire family. After an day of fun on the lake... take a break from the heat and join us for a round of miniature golf on our state-of-the-art course.
<p>971 Hi-Line, Austin, Texas 78734</p>",http://www.daybreakboatrentals.com/,http://bbbsevents.org/images/mdp/daybreak.jpg
13,Dick's Classic Garage,Bigs: $8; Littles: free!,"120 Stagecoach Trail, San Marcos, TX","Dick's Classic Garage is a part of the Central Texas Museum of Automotive History. Founded in 1980, the museum is dedicated to the preservation and display of the history of the automobile.
<p>120 Stagecoach Trail, San Marcos, TX</p>",http://www.dicksclassicgarage.com/,http://bbbsevents.org/images/mdp/dicks_classic_garage.jpeg
14,Dub Academy,"Buy one, get one - Big buys one 90-min session, Little is free","906 East 5th St., Austin TX 78702","LEARN | APPLY | CREATE
Dub Academy is a non-profit school for the electronic arts located in the heart of Austin, Texas.
<p>906 East 5th St., Austin TX 78702</p>",http://www.dubacademy.com/,http://bbbsevents.org/images/mdp/dub_academy.png
15,Freddie's Place,"When Big presents Match ID card and Big buys a meal at full price, cost of Little's meal will be free. When a Big visits Freddie's Place without Little and presents Match ID card, they will receive 15% discount on their meal. ","1703 South 1st Street, Austin, TX","Located in South-Central Austin under a huge grove of beautiful giant oak trees along Bouldin Creek, you can kick back and enjoy one of the ""Fredliest"" places in South Austin.
<p>1703 South 1st Street, Austin, TX</p>",http://www.freddiesplaceaustin.com/,http://bbbsevents.org/images/mdp/freddies_place.jpeg
16,Highland Lanes ,Half price lane rental; free shoes for Little,"8909 Burnet Road, Austin, TX","Highland Lanes is a great place to have fun times with family and friends. At Highland Lanes you can have a great time at prices that won't break your family's budget.
<p>8909 Burnet Road, Austin, TX</p>",http://www.highlandlanes.com/,http://bbbsevents.org/images/mdp/higland_lanes.jpeg
17,Holding the Line Guide Service,"Free 4-hour guided fishing trips for any military children/youth participating in BBBS. Please visit the website or call <a href=""tel:+1-254-368-7411"">254-368-7411</a> for times and prices. No experience or fishing license is required.","2328 Pirtle Dr Salado, TX 76571","Holding The Line Guide Service offers guided fishing trips in the Salado, Texas region, focusing on Lake Belton, Stillhouse Hollow Lake, and Georgetown Lake.
<p>2328 Pirtle Dr Salado, TX 76571</p>",http://www.holdingthelineguideservice.com/,http://bbbsevents.org/images/mdp/holding_the_line.jpg
18,Holiday Inn Austin-Town Lake,"Matches can swim at rooftop pool for free on Sundays from 11am-5pm. We also offer free hot dogs and burgers. Matches must call to RSVP at <a href=""tel:+1-512-472-8211"">512-472-8211</a>.","20 N Interstate Highway 35, Austin, TX 78701","Less than a mile from the Austin Convention Center, our hotel's premier location is ideal for both business and leisure guests.
<p>20 N Interstate Highway 35, Austin, TX 78701</p>",http://www.ihg.com/holidayinn/hotels/us/en/austin/austl/hoteldetail,http://bbbsevents.org/images/mdp/holiday_inn.png
19,Mister FruitCup,"Buy 1, get 1 free (of equal or lesser value).  Applicable on all days and times. Check web site for seasonal availability.","411 West 23rd St., Austin, TX 78705","Mister FruitCup offers a medley of fresh mouth watering fruit cups inspired by the popular Mexican street-food snack. Mister FruitCup is Austin's only choice for the best fruit cups your palate will ever experience because they are made to order daily.
<p>411 West 23rd St., Austin, TX 78705</p>",http://misterfruitcup.com/,http://bbbsevents.org/images/mdp/mister_fruit_cup.jpg
20,Outbound Sailing,"Free sailing excursion offered once per month. Must call to schedule, <a href=""tel:+1-512-222-7245"">512-222-7245</a>.","16406 Steward Road, Lakeway, TX 78734","Outbound Sailing offers everything you need for you, your family, and friends to enjoy the Austin sailing lifestyle on beautiful Lake Travis.
<p>16406 Steward Road, Lakeway, TX 78734</p>",http://www.outboundsailing.com/,http://bbbsevents.org/images/mdp/outbound_sailing.png
21,Playland Skate Center,Bigs pay full price but Littles skate for free.,"8822 McCann Drive, Austin, TX","Playland Skate Center offers the finest in skating entertainment with an impressive light show, fog machine and state of the art sound system playing a wide variety of music.
<p>8822 McCann Drive, Austin, TX</p>",http://playlandskatecenter.net/,http://bbbsevents.org/images/mdp/playland_skate_center.jpg
22,Pollyanna Theatre Company,"30% off Ticket Price - $5 tickets for Bigs and Littles, for any performance, any age patron. ($10 per pair of tickets for Bigs and Littles) Go to <a href=""http://www.thelongcenter.org"">www.thelongcenter.org</a> and enter the code ""BBBS"".","701 W. Riverside Drive, Austin, TX 78704","The Pollyanna Theatre Company commissions and produces original theatre for young audiences that speaks to the needs, dreams, and imaginations of young people and the child that lives inside each of us.
<p>701 W. Riverside Drive, Austin, TX 78704</p>",http://pollyannatheatrecompany.org/,http://bbbsevents.org/images/mdp/pollyanna_theater_company.jpg
23,Segway Nation,Bigs pay full price; Littles ride free (Littles must be 14 or older and have a signed waiver from their legal guardian. Waivers can be downloaded at www.nationtours.com),"1108 Lavaca Street, Austin, TX","Austin, Texas is an incredible city to tour with a Segway. Our Austin Segway tours are offered 6 times daily. Depending on the tour you book, you will visit the Texas State Capital building, the haunted Driskill Hotel, Austin's Moonlight Towers, beautiful Lady Bird Lake, the world famous 6th Street live music area, and Austin's newest skyscrapers.
<p>1108 Lavaca Street, Austin, TX</p>",http://www.nationtours.com/austin/,http://bbbsevents.org/images/mdp/segway_nation.png
24,Thinkery,"Buy one, get one free with BBBS ID card","1830 Simond Avenue, Austin, TX 78723","The Thinkery is an evolution of Austin Children's Museum. It's Austin's sparkling new home for ""why"" and ""how"". A place where science and families play side by side. Where people connect with ideas by doing, making and experiencing.
<p>1830 Simond Avenue, Austin, TX 78723</p>",http://thinkeryaustin.org/,http://bbbsevents.org/images/mdp/thinkery.jpg
25,Way South Philly,"Big buys one cheese steak, tots and drink: little gets a free cheese steak and drink.","1104 East 6th Street, Austin, TX","Way South Philly Authentic Philly Cheese Steaks, Italian Sausage and Tots served up fresh from The Little Red Trailer at 6th & Waller, Austin, TX.
<p>1104 East 6th Street, Austin, TX</p>",https://waysouthphilly.wordpress.com/,http://bbbsevents.org/images/mdp/way_south_philly.jpeg
26,Trudy's,Littles eat free with purchase of Big's meal.,"8820 Burnet Road, Austin, TX 78758","Visit any one of our locations except for the South Congress Cafe. See our website for a complete listing.
<p>8820 Burnet Road, Austin, TX 78758</p>",http://www.trudys.com/,http://bbbsevents.org/images/mdp/trudys.jpg
27,Trudy's,Littles eat free with purchase of Big's meal.,"409 West 30th St., Austin, TX 78705","Visit any one of our locations except for the South Congress Cafe. See our website for a complete listing.
<p>409 West 30th St., Austin, TX 78705</p>",http://www.trudys.com/,http://bbbsevents.org/images/mdp/trudys.jpg
28,Trudy's,Littles eat free with purchase of Big's meal.,"901 Little Texas Lane, Austin, TX 78745","Visit any one of our locations except for the South Congress Cafe. See our website for a complete listing.
<p>901 Little Texas Lane, Austin, TX 78745</p>",http://www.trudys.com/,http://bbbsevents.org/images/mdp/trudys.jpg
29,Trudy's,Littles eat free with purchase of Big's meal.,"13059 Four Star Blvd, Austin, TX 78737","Visit any one of our locations except for the South Congress Cafe. See our website for a complete listing.
<p>13059 Four Star Blvd, Austin, TX 78737</p>",http://www.trudys.com/,http://bbbsevents.org/images/mdp/trudys.jpg
30,Thundercloud Subs,Buy one large sub and receive one small sub for free (must show Big ID card),"1608 Lavaca St., Austin, TX 78701","ThunderCloud Subs is a neighborhood sub shop with a rich tradition of good-natured people serving fresh, fast, and healthy food in a quirky and fun atmosphere. Discount available at any of our locations except for San Antonio and New Braunfels.
<p>1608 Lavaca St., Austin, TX 78701</p>",http://thundercloud.com/,http://bbbsevents.org/images/mdp/thundercloud.jpg
31,Thundercloud Subs,Buy one large sub and receive one small sub for free (must show Big ID card),"360 Nueces St., Austin, TX 78701","ThunderCloud Subs is a neighborhood sub shop with a rich tradition of good-natured people serving fresh, fast, and healthy food in a quirky and fun atmosphere. Discount available at any of our locations except for San Antonio and New Braunfels.
<p>360 Nueces St., Austin, TX 78701</p>",http://thundercloud.com/,http://bbbsevents.org/images/mdp/thundercloud.jpg
